iter	Passed	Remaining
0	157	157640
1	168	83979
2	178	59160
3	189	47069
4	195	38947
5	203	33773
6	210	29880
7	215	26772
8	221	24393
9	226	22393
10	230	20748
11	234	19336
12	238	18084
13	242	17049
14	245	16120
15	248	15295
16	251	14544
17	254	13908
18	258	13341
19	261	12810
20	264	12331
21	267	11898
22	271	11514
23	274	11166
24	278	10857
25	281	10561
26	285	10305
27	289	10058
28	293	9816
29	297	9609
30	300	9380
31	304	9200
32	307	9012
33	311	8848
34	315	8707
35	319	8543
36	322	8395
37	326	8260
38	329	8128
39	332	7989
40	336	7867
41	339	7754
42	343	7652
43	347	7546
44	351	7461
45	355	7364
46	359	7281
47	362	7194
48	366	7110
49	369	7026
50	373	6947
51	377	6875
52	380	6798
53	384	6731
54	387	6659
55	391	6592
56	394	6531
57	399	6480
58	402	6422
59	406	6371
60	410	6324
61	414	6268
62	418	6220
63	421	6169
64	425	6125
65	429	6074
66	432	6020
67	435	5967
68	438	5921
69	442	5879
70	446	5837
71	449	5792
72	452	5748
73	455	5701
74	458	5657
75	461	5616
76	465	5575
77	468	5537
78	471	5498
79	474	5458
80	477	5420
81	480	5379
82	483	5344
83	486	5304
84	489	5269
85	492	5231
86	495	5195
87	498	5164
88	501	5128
89	504	5096
90	506	5062
91	509	5031
92	513	5004
93	516	4973
94	519	4947
95	522	4921
96	525	4895
97	528	4867
98	532	4844
99	535	4820
100	539	4800
101	542	4775
102	546	4755
103	549	4735
104	553	4714
105	555	4688
106	559	4671
107	563	4651
108	566	4631
109	569	4608
110	573	4594
111	576	4571
112	579	4552
113	582	4529
114	586	4515
115	589	4493
116	593	4476
117	596	4457
118	599	4439
119	602	4419
120	606	4404
121	609	4383
122	612	4369
123	616	4355
124	619	4339
125	623	4322
126	626	4308
127	630	4292
128	633	4279
129	636	4262
130	640	4245
131	643	4228
132	646	4215
133	650	4201
134	653	4187
135	656	4172
136	660	4159
137	663	4143
138	666	4128
139	669	4111
140	672	4095
141	675	4080
142	678	4067
143	681	4052
144	685	4039
145	688	4024
146	691	4011
147	694	3999
148	697	3984
149	701	3972
150	703	3957
151	706	3944
152	710	3932
153	714	3924
154	717	3909
155	720	3897
156	723	3883
157	726	3869
158	729	3857
159	732	3843
160	735	3831
161	738	3819
162	741	3808
163	745	3798
164	748	3787
165	751	3774
166	754	3761
167	757	3750
168	760	3738
169	763	3727
170	766	3715
171	769	3705
172	772	3692
173	775	3682
174	778	3671
175	783	3667
176	786	3658
177	790	3648
178	793	3639
179	796	3630
180	799	3619
181	802	3608
182	805	3597
183	809	3588
184	812	3580
185	816	3572
186	819	3561
187	822	3552
188	825	3543
189	828	3533
190	831	3522
191	834	3513
192	837	3503
193	840	3494
194	844	3484
195	847	3476
196	850	3466
197	853	3457
198	857	3452
199	860	3443
200	864	3435
201	867	3427
202	871	3419
203	874	3412
204	878	3405
205	881	3397
206	884	3388
207	888	3381
208	891	3373
209	894	3365
210	898	3359
211	901	3351
212	905	3343
213	908	3336
214	911	3328
215	915	3321
216	918	3315
217	922	3308
218	925	3301
219	928	3293
220	932	3286
221	936	3280
222	939	3273
223	942	3265
224	946	3258
225	950	3254
226	953	3247
227	957	3243
228	961	3236
229	966	3234
230	970	3229
231	974	3225
232	979	3223
233	982	3217
234	987	3214
235	992	3212
236	996	3207
237	1000	3203
238	1004	3199
239	1008	3194
240	1013	3192
241	1018	3190
242	1023	3187
243	1027	3183
244	1030	3176
245	1034	3171
246	1039	3167
247	1042	3162
248	1047	3157
249	1050	3152
250	1055	3149
251	1059	3144
252	1063	3139
253	1067	3136
254	1072	3132
255	1075	3126
256	1080	3123
257	1084	3118
258	1087	3112
259	1091	3107
260	1095	3102
261	1100	3099
262	1104	3095
263	1108	3091
264	1112	3086
265	1116	3081
266	1120	3076
267	1124	3070
268	1127	3064
269	1131	3059
270	1135	3054
271	1139	3048
272	1142	3043
273	1146	3037
274	1149	3031
275	1153	3026
276	1157	3020
277	1161	3017
278	1165	3011
279	1169	3006
280	1173	3001
281	1176	2994
282	1179	2988
283	1183	2982
284	1186	2976
285	1189	2970
286	1193	2963
287	1196	2957
288	1200	2952
289	1203	2946
290	1207	2941
291	1210	2935
292	1214	2930
293	1218	2924
294	1221	2919
295	1225	2914
296	1228	2908
297	1231	2902
298	1235	2896
